OPEN and ALL Service Divisions,,,,,,,
MAXIMUM SCORE = 400,,,,,,,
Raw Cisco Quiz of 30 = 30 ,,,,,Total Cisco Score = 100,,
Packet Tracer Score =70 Weighted,,,,,Total CCS Image Score = 300,,
Team #,Division / Category,Location,Tier,Round Network Security (Images),Round Cisco Networking ,Cumulative,Advancement
12-0646,Open,OR,Gold,112,41.64,153.64,Does Not Advance
12-0647,Open,OR,Gold,111,42.64,153.64,Does Not Advance
12-0651,Open,MI,Platinum,108,42.36,150.36,Does Not Advance
12-0652,Open,MI,Platinum,109,35.14,144.14,Does Not Advance
12-0653,Open,MI,Platinum,114,37.67,151.67,Does Not Advance
12-0654,Open,MI,Gold,97,36.64,133.64,Does Not Advance
12-0656,Open,TX,Gold,153,42.34,195.34,Advances to Semifinals
12-0657,Open,FL,Gold,136,34.67,170.67,Does Not Advance
12-0658,Open,FL,Platinum,131,72.53,203.53,Does Not Advance
12-0659,Open,FL,Platinum,168,32.8,200.8,Does Not Advance
12-0660,Open,FL,Platinum,195,70.92,265.92,Advances to Semifinals
12-0661,Open,FL,Platinum,215,68.84,283.84,Advances to Semifinals
12-0662,Open,CA,Gold,134,43.68,177.68,Does Not Advance
12-0663,Open,CA,Platinum,179,60.67,239.67,Does Not Advance
12-0664,Open,CA,Gold,160,51.34,211.34,Advances to Semifinals
12-0665,Open,CA,Gold,115,36.39,151.39,Does Not Advance
12-0666,Open,CA,Platinum,148,51.25,199.25,Does Not Advance
12-0667,Open,MO,Platinum,192,65.22,257.22,Advances to Semifinals
12-0668,Civil Air Patrol,VA,Platinum,78,53.42,131.42,Does Not Advance
12-0669,Open,MO,Gold,140,60.88,200.88,Advances to Semifinals
12-0671,Open,CA,Platinum,135,60.09,195.09,Does Not Advance
12-0672,Open,TX,Silver,67,20.25,87.25,Does Not Advance
12-0673,Open,TX,Silver,74,0,74,Does Not Advance
12-0674,Open,TX,Silver,61,13.5,74.5,Does Not Advance
12-0675,Open,TX,Silver,88,8.25,96.25,Does Not Advance
12-0676,Open,CO,Platinum,143,0,143,Does Not Advance
12-0677,Open,TX,Silver,15,0,15,Does Not Advance
12-0678,Open,CO,Platinum,149,26.36,175.36,Does Not Advance
12-0679,Open,CO,Gold,142,59.8,201.8,Advances to Semifinals
12-0680,Open,CO,Gold,145,52.68,197.68,Advances to Semifinals
12-0682,Open,KY,Gold,54,0,54,Does Not Advance
12-0683,Open,KY,Silver,39,6,45,State Wildcard
12-0689,Civil Air Patrol,OH,Silver,68,0,68,Advances to Semifinals
12-0691,Open,AZ,Gold,98,15.5,113.5,Does Not Advance
12-0692,Civil Air Patrol,OH,Platinum,101,34.01,135.01,Does Not Advance
12-0696,Open,TN,Gold,101,62.11,163.11,Does Not Advance
12-0697,Open,TN,Platinum,157,59.42,216.42,Does Not Advance
12-0700,Open,TN,Platinum,135,61.43,196.43,Does Not Advance
12-0705,Open,CA,Platinum,148,57.46,205.46,Does Not Advance
12-0706,Open,CA,Platinum,113,52.68,165.68,Does Not Advance
12-0707,Open,FL,Platinum,160,67.13,227.13,Does Not Advance
12-0708,Open,FL,Gold,132,14,146,Does Not Advance
12-0709,Open,FL,Platinum,140,60.65,200.65,Does Not Advance
12-0710,Open,FL,Platinum,102,58.74,160.74,Does Not Advance
12-0711,Open,CA,Silver,71,80.08,151.08,Advances to Semifinals
12-0714,Civil Air Patrol,IL,Platinum,117,0,117,Does Not Advance
12-0720,Civil Air Patrol,CA,Gold,89,38.14,127.14,Advances to Semifinals
12-0721,Naval Sea Cadets Corps,CA,Gold,96,47.32,143.32,Advances to Semifinals
12-0725,Open,CA,Platinum,266,0,266,Advances to Semifinals
12-0729,Open,CAN,Platinum,227,88.67,315.67,Advances to Semifinals
12-0730,Open,CAN,Platinum,201,48.68,249.68,Does Not Advance
12-0731,Open,CAN,Platinum,191,59.47,250.47,Does Not Advance
12-0743,Open,CA,Platinum,180,74.89,254.89,Does Not Advance
12-0744,Air Force JROTC,AL,Platinum,145,66.36,211.36,Advances to Semifinals
12-0745,Navy JROTC,MS,Gold,39,10.5,49.5,Does Not Advance
12-0746,Navy JROTC,MS,Gold,44,0,44,Does Not Advance
12-0747,Air Force JROTC,AL,Platinum,46,56.26,102.26,Does Not Advance
12-0748,Air Force JROTC,AL,Gold,40,0,40,Does Not Advance
12-0749,Navy JROTC,MS,Gold,55,0,55,Does Not Advance
12-0752,Open,MS,Platinum,144,53.32,197.32,Does Not Advance
12-0755,Open,MS,Silver,82,0,82,State Wildcard
12-0756,Open,MS,Gold,117,62.78,179.78,State Wildcard
12-0757,Open,MS,Gold,113,48.8,161.8,Does Not Advance
12-0758,Open,MS,Silver,41,0,41,Does Not Advance
12-0760,Civil Air Patrol,NJ,Platinum,153,87.01,240.01,Advances to Semifinals
12-0761,Navy JROTC,CA,Silver,16,0,16,Does Not Advance
12-0765,Air Force JROTC,GA,Silver,49,0,49,Does Not Advance
12-0766,Navy JROTC,CA,Platinum,186,53.96,239.96,Advances to Semifinals
12-0767,Civil Air Patrol,CA,Platinum,209,94.72,303.72,Advances to Semifinals
12-0768,Navy JROTC,CA,Gold,189,42.36,231.36,Advances to Semifinals
12-0769,Open,SC,Gold,98,18.5,116.5,Does Not Advance
12-0770,Open,MI,Platinum,183,71.84,254.84,Does Not Advance
12-0771,Open,MI,Platinum,177,78.26,255.26,Advances to Semifinals
12-0773,Open,MI,Gold,127,59.78,186.78,Advances to Semifinals
12-0777,Open,AL,Platinum,166,48.42,214.42,Does Not Advance
12-0778,Open,AL,Gold,129,12,141,Does Not Advance
12-0779,Open,AL,Platinum,157,38.68,195.68,Does Not Advance
12-0780,Open,AL,Platinum,158,46.43,204.43,Does Not Advance
12-0783,Open,WI,Platinum,184,62.11,246.11,State Wildcard
12-0785,Open,WI,Platinum,148,37.36,185.36,Does Not Advance
12-0786,Open,WI,Silver,46,0,46,Does Not Advance
12-0787,Open,WI,Silver,41,15,56,Does Not Advance
12-0789,Open,AR,Gold,90,38.39,128.39,Does Not Advance
12-0790,Open,TX,Platinum,144,65.47,209.47,Does Not Advance
12-0791,Open,TX,Gold,117,47.88,164.88,Does Not Advance
12-0792,Open,TX,Platinum,163,48.22,211.22,Does Not Advance
12-0793,Open,TX,Gold,136,69.36,205.36,Advances to Semifinals
12-0794,Open,TX,Gold,81,23,104,Does Not Advance
12-0795,Civil Air Patrol,PA,Platinum,108,58.26,166.26,Does Not Advance
12-0799,Open,TX,Platinum,175,67.53,242.53,Does Not Advance
12-0801,Open,CAN,Platinum,161,87.03,248.03,Does Not Advance
12-0811,Open,FL,Gold,121,21,142,Does Not Advance
12-0812,Open,FL,Silver,84,0,84,Does Not Advance
12-0813,Open,FL,Silver,79,23.25,102.25,Does Not Advance
12-0816,Open,NE,Platinum,147,50.05,197.05,Does Not Advance
12-0817,Open,NE,Gold,136,57,193,Advances to Semifinals
12-0818,Army JROTC,CA,Platinum,114,61.47,175.47,Does Not Advance
12-0824,Marine Corps JROTC,TX,Platinum,181,86.71,267.71,Advances to Semifinals
12-0825,Open,DE,Gold,162,68.84,230.84,Advances to Semifinals
12-0827,Open,DE,Gold,148,71.53,219.53,Advances to Semifinals
12-0829,Open,DE,Gold,41,0,41,Does Not Advance
12-0831,Open,CA,Platinum,148,24,172,Does Not Advance
12-0834,Open,TX,Platinum,256,87.68,343.68,Advances to Semifinals
12-0835,Civil Air Patrol,WA,Silver,39,0,39,Does Not Advance
12-0836,Civil Air Patrol,WA,Silver,25,0,25,Does Not Advance
12-0838,Open,CA,Platinum,107,65.89,172.89,Does Not Advance
12-0839,Open,CA,Gold,102,37.67,139.67,Does Not Advance
12-0840,Open,CA,Silver,68,14.41,82.41,Does Not Advance
12-0841,Open,CA,Silver,9,14.25,23.25,Does Not Advance
12-0844,Open,IN,Gold,76,0,76,Does Not Advance
12-0845,Open,WI,Gold,117,44.38,161.38,Does Not Advance
12-0846,Open,WI,Gold,104,46.03,150.03,Does Not Advance
12-0847,Open,WI,Silver,94,52.06,146.06,Advances to Semifinals
12-0848,Open,CO,Platinum,196,66.46,262.46,Advances to Semifinals
12-0849,Open,CO,Platinum,190,62.63,252.63,Does Not Advance
12-0850,Open,CO,Platinum,203,66.46,269.46,Advances to Semifinals
12-0851,Open,CO,Gold,72,50.75,122.75,Does Not Advance
12-0853,Open,MD,Silver,132,79.83,211.83,Advances to Semifinals
12-0854,Open,MD,Silver,52,25.5,77.5,Does Not Advance
12-0856,Open,NV,Platinum,131,69.14,200.14,Does Not Advance
12-0857,Open,NV,Gold,106,11.5,117.5,Does Not Advance
12-0858,Open,NV,Gold,130,48.09,178.09,Does Not Advance
12-0859,Open,NV,Gold,124,12,136,Does Not Advance
12-0860,Open,NV,Platinum,168,45.59,213.59,Does Not Advance
12-0861,Open,NV,Silver,21,9.75,30.75,Does Not Advance
12-0863,Open,NV,Gold,82,12,94,Does Not Advance
12-0864,Open,NV,Gold,90,0,90,Does Not Advance
12-0865,Open,NV,Silver,43,0,43,Does Not Advance
12-0867,Open,WI,Gold,67,37.64,104.64,Does Not Advance
12-0868,Civil Air Patrol,SC,Gold,14,0,14,Does Not Advance
12-0878,Civil Air Patrol,CA,Platinum,180,53.93,233.93,Advances to Semifinals
12-0879,Army JROTC,GA,Platinum,114,27,141,Does Not Advance
12-0882,Civil Air Patrol,WY,Platinum,88,92.03,180.03,Does Not Advance
12-0883,Civil Air Patrol,OR,Silver,53,0,53,Does Not Advance
12-0886,Air Force JROTC,SC,Platinum,88,50.05,138.05,Does Not Advance
12-0887,Civil Air Patrol,FL,Platinum,236,91.36,327.36,Advances to Semifinals
12-0888,Open,PA,Gold,117,41.76,158.76,Does Not Advance
12-0889,Open,PA,Gold,151,50.05,201.05,Advances to Semifinals
12-0890,Open,PA,Gold,159,47.42,206.42,Advances to Semifinals
12-0896,Open,FL,Gold,130,39.18,169.18,Does Not Advance
12-0897,Open,FL,Platinum,189,64.55,253.55,Does Not Advance
12-0898,Open,FL,Gold,152,67.3,219.3,Advances to Semifinals
12-0899,Open,FL,Platinum,195,89.7,284.7,Advances to Semifinals
12-0900,Open,FL,Gold,132,36.86,168.86,Does Not Advance
12-0901,Open,CA,Gold,116,0,116,Does Not Advance
12-0902,Open,CA,Gold,84,0,84,Does Not Advance
12-0903,Open,CA,Gold,109,25.5,134.5,Does Not Advance
12-0906,Open,CA,Gold,110,42.14,152.14,Does Not Advance
12-0907,Open,CA,Silver,102,18.75,120.75,Advances to Semifinals
12-0908,Army JROTC,RI,Platinum,111,37.01,148.01,Does Not Advance
12-0915,Air Force JROTC,OK,Gold,35,56.42,91.42,Does Not Advance
12-0917,Open,CA,Platinum,161,62.53,223.53,Does Not Advance
12-0918,Open,CA,Gold,59,38.71,97.71,Does Not Advance
12-0920,Air Force JROTC,CA,Gold,90,50.47,140.47,Advances to Semifinals
12-0921,Civil Air Patrol,ME,Gold,52,0,52,Does Not Advance
12-0928,Open,RI,Gold,Withheld,Withheld,0,Registration Action Required
12-0930,Open,RI,Gold,Withheld,Withheld,0,Registration Action Required
12-0931,Open,CA,Gold,168,59.11,227.11,Advances to Semifinals
12-0932,Open,CA,Gold,186,52.43,238.43,Advances to Semifinals
12-0933,Open,CA,Gold,166,57.46,223.46,Advances to Semifinals
12-0934,Open,VA,Platinum,151,74.22,225.22,Does Not Advance
12-0935,Open,VA,Silver,44,22.5,66.5,Does Not Advance
12-0936,Open,VA,Gold,63,36.64,99.64,Does Not Advance
12-0937,Open,VA,Gold,99,55.1,154.1,Does Not Advance
12-0938,Open,VA,Gold,97,49.68,146.68,Does Not Advance
12-0939,Open,VA,Silver,-11,19.5,8.5,Does Not Advance
12-0941,Air Force JROTC,VA,Silver,5,0,5,Does Not Advance
12-0945,Open,CA,Gold,24,19.5,43.5,Does Not Advance
12-0946,Open,CA,Gold,74,3,77,Does Not Advance
12-0951,Open,CA,Gold,119,64.84,183.84,Advances to Semifinals
12-0954,Open,IA,Gold,128,48.68,176.68,Does Not Advance
12-0955,Open,IA,Gold,45,34.18,79.18,Does Not Advance
12-0956,Open,IA,Gold,125,52.22,177.22,Does Not Advance
12-0957,Open,CA,Platinum,190,65.47,255.47,Advances to Semifinals
12-0958,Open,CA,Platinum,162,39.01,201.01,Does Not Advance
12-0959,Open,CA,Silver,33,69.22,102.22,Does Not Advance
12-0961,Open,CA,Gold,106,41.71,147.71,Does Not Advance
12-0964,Civil Air Patrol,CA,Platinum,151,68.22,219.22,Advances to Semifinals
12-0965,Civil Air Patrol,OH,Platinum,123,24,147,Does Not Advance
12-0966,Open,ID,Platinum,160,32.97,192.97,State Wildcard
12-0967,Open,ID,Gold,159,44.14,203.14,Advances to Semifinals
12-0968,Army JROTC,MO,Gold,60,38.03,98.03,Does Not Advance
12-0970,Army JROTC,RI,Gold,98,0,98,Does Not Advance
12-0971,Open,RI,Platinum,Withheld,Withheld,0,Registration Action Required
12-0972,Marine Corps JROTC,MA,Gold,87,31.17,118.17,Does Not Advance
12-0983,Navy JROTC,NY,Platinum,94,0,94,Does Not Advance
12-0984,Navy JROTC,NY,Platinum,87,0,87,Does Not Advance
12-0985,Army JROTC,CO,Platinum,125,47.03,172.03,Does Not Advance
12-0989,Civil Air Patrol,MN,Platinum,80,19.5,99.5,Does Not Advance
12-0990,Army JROTC,CO,Platinum,95,25.32,120.32,Does Not Advance
12-0991,Army JROTC,CO,Gold,115,38.64,153.64,Advances to Semifinals
12-0993,Open,SC,Platinum,214,47.14,261.14,Advances to Semifinals
12-0994,Open,SC,Platinum,156,81.93,237.93,Does Not Advance
12-0995,Open,SC,Gold,128,16.5,144.5,Does Not Advance
12-0996,Air Force JROTC,SC,Gold,82,43.22,125.22,Advances to Semifinals
12-0997,Air Force JROTC,SC,Platinum,112,40.59,152.59,Does Not Advance
12-1002,Open,VA,Platinum,162,45.71,207.71,Does Not Advance
12-1003,Open,VA,Gold,104,36.36,140.36,Does Not Advance
12-1004,Open,VA,Gold,130,34.01,164.01,Does Not Advance
12-1005,Open,VA,Gold,126,45.03,171.03,Does Not Advance
12-1006,Open,VA,Platinum,123,77.28,200.28,Does Not Advance
12-1008,Open,CAN,Silver,10,0,10,Does Not Advance
12-1009,Open,CAN,Silver,37,0,37,Does Not Advance
12-1012,Open,WI,Gold,188,38.14,226.14,Advances to Semifinals
12-1018,Civil Air Patrol,VA,Gold,28,0,28,Does Not Advance
12-1021,Civil Air Patrol,TX,Gold,48,27.5,75.5,Does Not Advance
12-1023,Civil Air Patrol,KY,Gold,48,0,48,Does Not Advance
12-1028,Open,MD,Platinum,262,92.71,354.71,Advances to Semifinals
12-1030,Civil Air Patrol,AR,Silver,0,0,0,Does Not Advance
12-1042,Open,MI,Platinum,108,62.5,170.5,Does Not Advance
12-1043,Navy JROTC,TX,Silver,8,0,8,Does Not Advance
12-1044,Navy JROTC,TX,Silver,5,0,5,Does Not Advance
12-1047,Open,MI,Silver,Withheld,Withheld,0,Registration Action Required
12-1049,Open,CAN,Silver,92,63.84,155.84,Advances to Semifinals
12-1057,Army JROTC,VA,Platinum,253,30,283,Advances to Semifinals
12-1058,Open,CO,Gold,102,50.22,152.22,Does Not Advance
12-1059,Open,CO,Gold,99,9.5,108.5,Does Not Advance
12-1063,Open,NV,Platinum,132,78.93,210.93,Does Not Advance
12-1064,Open,NV,Gold,146,51.63,197.63,Advances to Semifinals
12-1065,Open,NV,Gold,127,59.43,186.43,Advances to Semifinals
12-1066,Open,NV,Gold,134,58.5,192.5,Advances to Semifinals
12-1067,Open,NV,Platinum,157,93.38,250.38,Does Not Advance
12-1068,Civil Air Patrol,TX,Platinum,136,67.8,203.8,Advances to Semifinals
12-1076,Open,MI,Gold,122,0,122,Does Not Advance
12-1077,Open,MI,Silver,69,0,69,Does Not Advance
12-1078,Open,MI,Silver,55,0,55,Does Not Advance
12-1079,Open,MI,Silver,49,0,49,Does Not Advance
12-1080,Open,MI,Silver,21,0,21,Does Not Advance
12-1082,Open,CA,Silver,34,19.5,53.5,Does Not Advance
12-1083,Open,MN,Gold,104,55.75,159.75,Does Not Advance
12-1088,Civil Air Patrol,WA,Gold,92,37.64,129.64,Advances to Semifinals
12-1089,Open,TX,Gold,153,88.21,241.21,Advances to Semifinals
12-1090,Open,TX,Silver,104,80.83,184.83,Advances to Semifinals
12-1091,Open,TX,Platinum,133,43.32,176.32,Does Not Advance
12-1092,Open,TX,Gold,143,58.46,201.46,Advances to Semifinals
12-1093,Open,TX,Gold,82,77.59,159.59,Does Not Advance
12-1095,Open,CA,Gold,59,19,78,Does Not Advance
12-1096,Open,FL,Platinum,147,43.36,190.36,Does Not Advance
12-1097,Open,CA,Platinum,162,69.51,231.51,Does Not Advance
12-1098,Open,CA,Platinum,149,46.72,195.72,Does Not Advance
12-1099,Open,CA,Gold,108,49.07,157.07,Does Not Advance
12-1100,Open,CA,Platinum,109,69.82,178.82,Does Not Advance
12-1101,Open,CA,Gold,76,22.5,98.5,Does Not Advance
12-1102,Open,CA,Gold,124,46.38,170.38,Does Not Advance
12-1103,Open,CA,Gold,92,52.05,144.05,Does Not Advance
12-1104,Open,CA,Gold,89,47.97,136.97,Does Not Advance
12-1105,Open,CA,Gold,86,37.64,123.64,Does Not Advance
12-1109,Army JROTC,TX,Platinum,198,55.43,253.43,Advances to Semifinals
12-1110,Army JROTC,TX,Gold,94,0,94,Does Not Advance
12-1111,Army JROTC,TX,Gold,40,31.36,71.36,Does Not Advance
12-1112,Open,MT,Platinum,138,92.38,230.38,Does Not Advance
12-1113,Open,MT,Gold,96,27.71,123.71,State Wildcard
12-1115,Open,MT,Platinum,143,76.97,219.97,Does Not Advance
12-1119,Open,TX,Gold,171,49.53,220.53,Advances to Semifinals
12-1120,Open,CA,Gold,92,36.82,128.82,Does Not Advance
12-1122,Open,CA,Platinum,157,38.82,195.82,Does Not Advance
12-1123,Open,CA,Platinum,223,76.55,299.55,Advances to Semifinals
12-1124,Open,CA,Platinum,217,70.86,287.86,Advances to Semifinals
12-1125,Open,CA,Platinum,157,80.59,237.59,Does Not Advance
12-1126,Open,CA,Platinum,178,91.05,269.05,Advances to Semifinals
12-1127,Open,MI,Gold,107,0,107,Does Not Advance
12-1128,Open,MI,Silver,25,0,25,Does Not Advance
12-1129,Open,MI,Silver,21,0,21,Does Not Advance
12-1132,Navy JROTC,MD,Silver,29,0,29,Does Not Advance
12-1133,Navy JROTC,MD,Gold,82,0,82,Does Not Advance
12-1135,Open,MI,Gold,57,0,57,Does Not Advance
12-1137,Open,MI,Gold,132,0,132,Does Not Advance
12-1139,Open,NJ,Platinum,180,65.78,245.78,Does Not Advance
12-1140,Open,NJ,Platinum,239,69.14,308.14,Advances to Semifinals
12-1141,Open,NJ,Gold,137,19.5,156.5,Does Not Advance
12-1142,Open,NJ,Gold,137,45.64,182.64,Does Not Advance
12-1143,Open,NJ,Gold,144,16.5,160.5,Does Not Advance
12-1144,Open,NJ,Platinum,83,13,96,Does Not Advance
12-1145,Open,NJ,Silver,20,0,20,Does Not Advance
12-1146,Open,NJ,Gold,142,40.05,182.05,Does Not Advance
12-1147,Open,NJ,Gold,117,10,127,Does Not Advance
12-1148,Open,NJ,Gold,140,48.64,188.64,Advances to Semifinals
12-1149,Open,CA,Gold,115,56.78,171.78,Does Not Advance
12-1150,Open,CA,Gold,129,48.76,177.76,Does Not Advance
12-1152,Open,CA,Platinum,145,71.38,216.38,Does Not Advance
12-1153,Open,CA,Platinum,171,78.63,249.63,Does Not Advance
12-1156,Open,CA,Gold,104,70.5,174.5,Does Not Advance
12-1158,Open,CA,Platinum,165,52.8,217.8,Does Not Advance
12-1171,Open,IA,Silver,Withheld,Withheld,0,Registration Action Required
12-1172,Civil Air Patrol,MN,Gold,81,0,81,Does Not Advance
12-1174,Army JROTC,TX,Platinum,161,87.71,248.71,Advances to Semifinals
12-1176,Open,TX,Platinum,109,63.34,172.34,Does Not Advance
12-1177,Open,NJ,Silver,94,50.2,144.2,Advances to Semifinals
12-1178,Navy JROTC,WA,Silver,21,0,21,Does Not Advance
12-1179,Navy JROTC,WA,Silver,6,5.25,11.25,Does Not Advance
12-1180,Navy JROTC,WA,Silver,35,14.25,49.25,Does Not Advance
12-1182,Navy JROTC,WA,Gold,69,17,86,Does Not Advance
12-1192,Open,AZ,Gold,47,60.84,107.84,Does Not Advance
12-1193,Open,AZ,Silver,122,83.82,205.82,Advances to Semifinals
12-1194,Open,AZ,Gold,70,24,94,Does Not Advance
12-1195,Open,CO,Gold,137,49.03,186.03,Advances to Semifinals
12-1197,Open,CO,Platinum,110,44.14,154.14,Does Not Advance
12-1198,Open,CA,Silver,46,69.47,115.47,Does Not Advance
12-1199,Open,TN,Platinum,163,52.8,215.8,Does Not Advance
12-1200,Civil Air Patrol,FL,Platinum,177,73.18,250.18,Advances to Semifinals
12-1202,Air Force JROTC,VA,Gold,25,53.25,78.25,Does Not Advance
12-1204,Open,VA,Platinum,134,70.92,204.92,Does Not Advance
12-1206,Open,CAN,Gold,161,10,171,Does Not Advance
12-1207,Open,CAN,Gold,130,0,130,Does Not Advance
12-1209,Open,TX,Platinum,135,50.11,185.11,Does Not Advance
12-1210,Open,TX,Gold,140,39.84,179.84,Does Not Advance
12-1211,Open,TX,Gold,119,44.36,163.36,Does Not Advance
12-1217,Open,NY,Platinum,181,76.55,257.55,Advances to Semifinals
12-1218,Open,NY,Platinum,141,64.8,205.8,Does Not Advance
12-1219,Open,NY,Platinum,173,56.72,229.72,Does Not Advance
12-1223,Open,MD,Gold,150,0,150,Does Not Advance
12-1234,Civil Air Patrol,OR,Gold,80,35.14,115.14,Does Not Advance
12-1239,Open,CO,Platinum,129,65.34,194.34,Does Not Advance
12-1241,Open,CO,Gold,103,47.51,150.51,Does Not Advance
12-1242,Open,CO,Silver,44,0,44,Does Not Advance
12-1243,Open,NV,Gold,127,48.34,175.34,Does Not Advance
12-1244,Open,CO,Silver,36,0,36,Does Not Advance
12-1246,Open,NV,Silver,49,0,49,Does Not Advance
12-1248,Open,NV,Gold,94,43.17,137.17,Does Not Advance
12-1249,Marine Corps JROTC,IN,Gold,65,31.14,96.14,Does Not Advance
12-1250,Open,MI,Gold,44,46.43,90.43,Does Not Advance
12-1251,Open,MD,Platinum,207,64.18,271.18,Advances to Semifinals
12-1252,Open,NH,Gold,147,36.71,183.71,Advances to Semifinals
12-1254,Open,SC,Platinum,142,47.05,189.05,Does Not Advance
12-1255,Open,NV,Platinum,149,65.32,214.32,Does Not Advance
12-1256,Open,NV,Gold,140,48.39,188.39,Advances to Semifinals
12-1257,Open,NV,Gold,106,40.01,146.01,Does Not Advance
12-1258,Open,NV,Silver,72,0,72,Does Not Advance
12-1259,Open,NV,Silver,37,80.52,117.52,Does Not Advance
12-1260,Civil Air Patrol,CO,Platinum,205,84.63,289.63,Advances to Semifinals
12-1262,Navy JROTC,SC,Gold,17,13,30,Does Not Advance
12-1263,Open,NC,Platinum,247,83.63,330.63,Advances to Semifinals
12-1264,Open,NC,Platinum,135,71.84,206.84,Does Not Advance
12-1265,Open,NC,Platinum,187,76.93,263.93,Advances to Semifinals
12-1266,Open,NC,Platinum,141,54.59,195.59,Does Not Advance
12-1267,Navy JROTC,NY,Silver,35,0,35,Does Not Advance
12-1269,Army JROTC,MI,Platinum,82,44.86,126.86,Does Not Advance
12-1273,Marine Corps JROTC,MA,Platinum,Withheld,Withheld,0,Registration Action Required
12-1274,Marine Corps JROTC,MA,Platinum,Withheld,Withheld,0,Registration Action Required
12-1275,Marine Corps JROTC,MA,Platinum,Withheld,Withheld,0,Registration Action Required
12-1277,Open,MD,Platinum,159,50.63,209.63,Does Not Advance
12-1279,Air Force JROTC,CA,Silver,2,0,2,Does Not Advance
12-1282,Open,MD,Silver,36,21.75,57.75,Does Not Advance
12-1283,Open,MD,Silver,22,39.15,61.15,Does Not Advance
12-1285,Open,MD,Gold,127,67.71,194.71,Advances to Semifinals
12-1286,Open,MI,Platinum,146,68.03,214.03,Does Not Advance
12-1288,Open,MI,Gold,110,31.14,141.14,Does Not Advance
12-1289,Open,MI,Silver,86,51.69,137.69,Advances to Semifinals
12-1290,Open,OH,Gold,117,30,147,Does Not Advance
12-1291,Open,OH,Gold,106,53.42,159.42,Does Not Advance
12-1292,Air Force JROTC,GA,Gold,46,32.82,78.82,Does Not Advance
12-1293,Open,MO,Gold,161,33.34,194.34,Advances to Semifinals
12-1294,Open,MO,Gold,56,88.38,144.38,Does Not Advance
12-1295,Open,MO,Platinum,217,76.55,293.55,Advances to Semifinals
12-1296,Open,MO,Silver,41,10.5,51.5,Does Not Advance
12-1297,Air Force JROTC,MO,Gold,106,49.75,155.75,Advances to Semifinals
12-1298,Army JROTC,SC,Gold,52,39.68,91.68,Does Not Advance
12-1299,Open,SC,Silver,75,6.75,81.75,Does Not Advance
